departure_date,airline_code,flight_number,source_airport,destination_airport,flight_status,departure_scheduled_time,departure_actual_time,arrival_scheduled_time,arrival_actual_time
2018-02-01,AA,6195,LHR,ORD,LANDED,1517486700,1517486580,1517518500,1517518680
2018-02-01,IB,7453,LHR,BCN,LANDED,1517491200,1517491620,1517499000,1517498760
2018-02-01,AA,6455,LHR,FCO,LANDED,1517494500,1517494080,1517503800,1517502720
2018-02-01,AC,6510,LHR,CAI,LANDED,1517524200,1517524320,1517541000,1517540520
2018-02-01,AA,6269,LHR,TLS,LANDED,1517470800,1517470740,1517477400,1517477220
2018-02-01,AA,6508,LHR,DUS,LANDED,1517476800,1517476380,1517481900,1517481240
2018-02-01,BA,948,LHR,MUC,LANDED,1517468400,1517468340,1517475300,1517475120
2018-02-01,BA,454,LHR,AGP,LANDED,1517478900,1517479140,1517489400,1517488740
2018-02-01,IB,4189,LHR,ORD,LANDED,1517485800,1517485440,1517517900,1517517720
2018-02-01,AY,5965,LHR,EDI,LANDED,1517505900,1517505540,1517511000,1517510640
2018-02-01,SK,4628,LHR,SVG,LANDED,1517514600,1517514000,1517521200,1517520780
2018-02-01,UA,925,LHR,IAD,LANDED,1517502000,1517505060,1517532600,1517536320
2018-02-01,DL,9475,LHR,AMS,LANDED,1517485500,1517486700,1517490300,1517490420
2018-02-01,AY,5497,LHR,IAH,LANDED,1517496900,1517498340,1517534700,1517537940
2018-02-01,VS,250,LHR,PVG,LANDED,1517491500,1517490900,1517531400,null
2018-02-01,BA,920,LHR,STR,LANDED,1517501400,1517501100,1517507400,1517507460
2018-02-01,AA,733,LHR,CLT,LANDED,1517478300,1517479140,1517512200,1517513340
2018-02-01,CX,7155,LHR,HAM,LANDED,1517511900,1517512080,1517517900,1517518140
2018-02-01,EI,8795,LHR,YUL,LANDED,1517503500,1517503440,1517530200,1517530320
2018-02-01,RJ,3005,LHR,NCL,LANDED,1517506200,1517506020,1517510400,1517510580
2018-02-01,BA,478,LHR,BCN,LANDED,1517471100,1517471100,1517478600,1517478660
2018-02-01,BA,684,LHR,INN,LANDED,1517472000,1517471820,1517479200,1517478540
2018-02-01,AA,6651,LHR,NCL,LANDED,1517478300,1517477940,1517482800,1517482620
2018-02-01,SQ,2380,LHR,WAW,LANDED,1517508900,1517508420,1517518500,1517516880
2018-02-01,AA,6193,LHR,IAD,LANDED,1517504400,1517504400,1517535000,1517534880
2018-02-01,BA,5923,LHR,ORK,LANDED,1517508300,1517508720,1517513100,1517512200
2018-02-01,IB,7528,LHR,GLA,LANDED,1517504100,1517504580,1517509200,1517509860
2018-02-01,AA,6665,LHR,LUX,LANDED,1517472300,1517472120,1517477100,1517476260
2018-02-01,BA,504,LHR,LIS,LANDED,1517512500,1517515620,1517522100,1517523000
2018-02-01,AY,5666,LHR,CLT,LANDED,1517478300,1517479140,1517512200,1517513340
2018-02-01,CX,7143,LHR,DUS,LANDED,1517514000,1517513640,1517519100,1517519100
2018-02-01,IB,4633,LHR,IAH,LANDED,1517496900,1517498340,1517534700,1517537940
2018-02-01,IB,4219,LHR,JFK,LANDED,1517480100,1517479440,1517509500,1517510640
2018-02-01,AA,6453,LHR,MAN,LANDED,1517498100,1517498040,1517502000,1517502240
2018-02-01,AY,5415,LHR,BOS,LANDED,1517503200,1517503740,1517531100,1517531880
2018-02-01,NZ,4825,LHR,YVR,LANDED,1517495400,1517497980,1517529900,1517532480
2018-02-01,DL,1,LHR,JFK,LANDED,1517481000,1517480460,1517511660,1517510280
2018-02-01,JL,7797,LHR,MUC,LANDED,1517487000,1517486880,1517494200,1517493660
2018-02-01,SQ,2668,LHR,OSL,LANDED,1517468700,1517468880,1517476500,1517477280
